Sample,p53,p21,wnt3a,wnt7a,bmi,alcam
ctrl_t1_1,18.32402745,349.5376241,5.994591302,1.398274554,410.9428425,132.8093109
tra_t1_1,20.80028136,1214.626104,20.36211048,3.808962855,841.5472743,218.4071939
ctrl_t2_1,10.13713125,596.1139294,7.838539485,1.417849173,479.7247556,74.63837268
tra_t2_1,14.24657338,418.620191,7.464263932,1.953146232,397.3148051,82.95520409
ctrl_t3_1,20.19521991,415.2928811,12.43918858,2.138100061,473.185358,177.1150178
tra_t3_1,30.15791847,862.4530848,19.18440082,3.066000226,671.1464765,252.2996456
ctrl_t1_2,22.627417,370.4397338,17.92777038,3.861364287,346.3597185,119.0354223
tra_t1_2,27.8091284,1292.566414,24.2597984,3.590731305,716.4089178,251.1268083
ctrl_t2_2,14.85210924,331.1748148,9.723731353,1.510772105,268.8344924,75.30457197
tra_t2_2,13.11406074,219.4019837,7.73013779,1.512255534,307.7027602,65.06822422
ctrl_t3_2,16.76176809,298.747751,9.433012518,1.233031669,360.4206604,108.4763094
tra_t3_2,26.84072764,536.1137926,18.14499956,2.539690708,457.2690422,142.887123
ctrl_t1_3,18.12021985,340.0934701,6.666829277,2.639015822,344.7987109,131.2103173
tra_t1_3,19.58089552,1067.404574,20.6336182,3.974798159,702.3924487,194.4250017
ctrl_t2_3,8.744766584,498.4007977,7.707180783,1.125964742,394.5946331,70.57375536
tra_t2_3,14.63810662,360.4232017,5.571228756,1.624504793,340.5554021,88.45933363
ctrl_t3_3,19.69831061,400.695623,11.36841045,2.565001792,399.8039895,169.0581143
tra_t3_3,25.96983245,798.7739781,17.6317098,2.992577217,601.7302599,218.6856303
ctrl_t1_4,26.19318032,334.3299191,18.77878807,3.716499522,300.6088129,115.0500384
tra_t1_4,25.63687379,1223.701167,24.49535793,5.779826573,686.8822731,252.9387738
ctrl_t2_4,13.4214994,353.908915,9.625691645,1.277594875,256.9349246,72.17600025
tra_t2_4,14.67273715,222.8521838,8.603868977,1.37036718,310.3231057,78.1410647
ctrl_t3_4,16.82346479,258.0626615,8.639618664,1.210752265,282.3454099,117.9527153
tra_t3_4,21.1702667,473.2698196,15.44472205,2.799470222,469.5733198,127.980597
ctrl_t1_5,18.598456,358.9316563,7.760981224,1.549944731,362.038672,142.1401281
tra_t1_5,21.56649782,975.2195461,24.29316679,3.7497991,641.2681575,226.8451597
ctrl_t2_5,9.462828136,454.6532382,8.721178875,1.414213562,352.6640174,80.222413
tra_t2_5,14.43689937,321.9568298,5.387612815,1.742051902,300.3720397,82.3106513
ctrl_t3_5,22.02007383,376.4417102,11.12022097,2.051453602,368.4951669,189.3309642
tra_t3_5,29.5600386,692.5149328,17.62970522,3.043267895,495.4909579,255.6303405
ctrl_t1_6,24.30097256,345.0630527,22.05742726,3.334841349,266.3731795,129.0259289
tra_t1_6,22.627417,1235.516175,24.25146506,4.398122745,676.5072778,285.8525903
ctrl_t2_6,15.61286276,366.6165432,10.05210992,1.519373124,268.3742639,86.11956149
tra_t2_6,16.48393866,236.343931,9.956632862,1.142466124,304.9174342,86.06769656
ctrl_t3_6,21.12429403,278.7344324,11.3137085,1.23740497,310.1448263,142.7869743
tra_t3_6,32.10612478,446.1203784,19.15495987,1.920829183,456.1417518,164.7186171
